"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Psychonauts in the Rhombus of Ruin","0","0","8","0","0.97","0.97","0.12","0.08","33.3","1.50","0.00","29","0.42","2018-04-23","788690"
"GetMeBro!","0","0","5","0","68.60","68.60","13.72","N/A","0.0","0.00","0.00","1","11.93","2018-04-23","616610"
"Chuusotsu! 1st Graduation: Time After Time","0","0","7","0","2.75","2.75","0.39","0.27","30.8","3.71","5.82","37","1.36","2018-04-22","630870"
"Final Battle","0","0","5","0","1.34","1.34","0.27","N/A","0.0","0.50","4.48","14","0.70","2018-04-21","638720"
"BATTLETECH","0","0","6","0","0.77","0.77","0.13","0.21","-61.5","0.22","0.53","431","0.34","2018-04-20","637090"
"Mike was Cursed","0","0","5","0","0.27","0.27","0.05","0.03","40.0","0.03","0.03","710","0.13","2018-04-20","332700"
"Sakura Cupid","0","0","9","0","1.43","1.43","0.16","0.21","-31.2","2.14","1.44","63","0.70","2018-04-20","733740"
"Copy Kitty","0","0","9","0","0.47","0.47","0.05","0.09","-80.0","0.82","1.30","46","0.22","2018-04-19","349250"
"Mirror","0","0","15","0","1.31","1.31","0.09","0.08","11.1","0.19","0.14","845","0.63","2018-04-19","644560"
"Bullet Witch","0","0","8","0","1.24","1.24","0.16","0.25","-56.3","0.55","4.99","32","0.56","2018-04-19","696180"
"Just One Line","0","0","9","0","0.70","0.70","0.08","N/A","0.0","0.00","1.50","26","0.35","2018-04-18","640210"
"SpaceRoads","0","0","5","0","0.29","0.29","0.06","0.04","33.3","0.21","0.04","155","0.16","2018-04-18","488480"
"Re Angel","0","0","15","0","1.81","1.81","0.12","1.38","-1,050.0","3.85","10.75","27","0.83","2018-04-18","510680"
"Blasted Road Terror","0","0","5","0","0.58","0.58","0.12","0.25","-108.3","0.49","0.00","14","0.31","2018-04-18","603330"
"Unleash","0","0","5","0","0.59","0.59","0.12","0.07","41.7","0.43","2.54","15","0.31","2018-04-17","621940"
"Sarcophag","0","0","6","0","0.43","0.43","0.07","0.06","14.3","0.22","0.57","29","0.18","2018-04-17","631830"
"Ostalgie: The Berlin Wall","0","0","7","0","0.30","0.30","0.04","0.03","25.0","0.73","0.09","527","0.14","2018-04-17","774091"
"Ys VIII: Lacrimosa of Dana","0","0","8","0","1.37","1.37","0.17","0.20","-17.6","0.40","2.16","69","0.59","2018-04-17","579180"
"Solo","0","0","5","0","0.72","0.72","0.14","0.23","-64.3","0.93","1.13","8","0.37","2018-04-17","591750"
"Rad Rodgers","0","0","10","0","1.32","1.32","0.13","0.17","-30.8","110.29","4.50","18","0.57","2018-04-17","805660"
"Bridge Constructor Portal","0","0","5","0","0.45","0.45","0.09","0.08","11.1","0.06","0.08","221","0.23","2018-04-16","684410"
"Forest Fortress","0","0","6","0","1.75","1.75","0.29","0.39","-34.5","1.22","3.96","20","0.76","2018-04-16","616620"
"The Thin Silence","0","0","5","0","0.46","0.46","0.09","N/A","0.0","0.00","0.00","22","0.23","2018-04-14","314630"
"Abandoned","0","0","11","0","0.40","0.40","0.04","0.02","50.0","0.03","0.03","700","0.21","2018-04-14","389270"
"Friday the 13th: Killer Puzzle","0","0","7","0","1.33","1.33","0.19","0.20","-5.3","1.54","1.37","23","0.66","2018-04-14","795100"
"Proxy - Ultimate Hacker","0","0","7","0","0.50","0.50","0.07","0.11","-57.1","1.66","0.35","27","0.24","2018-04-13","528860"
"Drop The Bomb","0","0","6","0","0.39","0.39","0.07","0.06","14.3","0.19","0.19","58","0.18","2018-04-13","528170"
"Through the Ages","0","0","6","0","0.66","0.66","0.11","0.12","-9.1","0.66","0.17","73","0.29","2018-04-13","758370"
"Survival Games","0","0","8","0","2.65","2.65","0.33","N/A","0.0","335.70","8.63","10","1.15","2018-04-13","307150"
